,,,,,,,,,,,,,,,,,,,,,,,
947 properties found,,,,,,,,,,,,,,,,,,,,,,,
Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/2024314/new-jersey-2470-2458-us-highway-1,2470  2458 US Highway 1,On-Market,"Retail, Office",2470 & 2458 US Highway 1,Lawrence Township,NJ,8648,N/A,,,24000,3.1,,,"$2,40,000.00 ",,"$37,75,000.00 ",$157.29 ,"$12,17,741.94 ",70,No,-74.7220017,40.2912966
https://www.crexi.com/properties/1676266/new-jersey-984-us-highway-9-parlin-nj-08859-2033,"984 US Highway 9, Parlin, NJ 08859-2033",On-Market,Office,984 US-9,Sayreville,NJ,8859,Multi,,,10000,0.68,26,,"$1,00,000.00 ",5.50%,"$18,00,000.00 ",$180.00 ,"$26,47,058.82 ",366,No,-74.29578472,40.4582582
https://www.crexi.com/properties/1826067/new-jersey-freestanding-route-10-office-building-for-sale,Freestanding Route 10 Office Building for Sale,On-Market,Office,400 NJ-10,Randolph,NJ,7869,N/A,,,11700,,,,,,"$17,50,000.00 ",$149.57 ,,200,No,-74.5605512,40.8643088
https://www.crexi.com/properties/2187750/new-jersey-8-wright-way,8 Wright Way,On-Market,Office,8 Wright Way,Oakland,NJ,7436,N/A,,,30528,3.42,,,,,,,,1,No,-74.2485617,41.0059248
https://www.crexi.com/properties/1958166/new-jersey-779-new-durham-road,779 New Durham Road,On-Market,"Office, Land",779 New Durham Rd,Edison,NJ,8817,N/A,,,25625,2.7,,,,,"$28,00,000.00 ",$109.27 ,"$10,37,037.04 ",109,No,-74.3867317,40.5404547
https://www.crexi.com/properties/1769559/new-jersey-arcade-building,Arcade Building State of NJ Casino Control Commission,On-Market,"Retail, Office",1325 Boardwalk,Atlantic City,NJ,8401,Multi,4,4,74000,,4,,"$7,75,000.00 ",8.71%,"$89,00,000.00 ",$120.27 ,,232,Yes,-74.4248261,39.3577159
https://www.crexi.com/properties/1654078/new-jersey-50---redevelopment-site-rte-2278,.50 - Redevelopment Site Rte 2278,On-Market,"Office, Hospitality, Land",602 Liberty Blvd,Phillipsburg,NJ,8865,N/A,,,,50,7,,,,"$12,60,000.00 ",,"$25,200.00 ",397,No,-75.1486779,40.6819681
https://www.crexi.com/properties/1749520/new-jersey-205-rt-31-washington,LEASE TO OWN MEDICALDENTALPROFESSIONAL BUILDING,On-Market,Office,205 NJ-31,Washington,NJ,7882,Multi,1.6,0.7,6800,1.5,13,,,,,$155.00 ,,254,No,-74.9806091,40.7688555
https://www.crexi.com/properties/1954095/new-jersey-250000sf-on-208ac-industrial-1-11-market-st-passaic-nj,"250,000sf on 2.08AC Industrial  1-11 Market St passaic, NJ",On-Market,Industrial,"1-11 Market St, Passaic, NJ, USA",Passaic,NJ,7055,Single,,5.9,250000,2.08,1,,"$12,72,771.00 ",5.00%,"$2,54,55,420.00 ",$101.82 ,"$1,22,38,182.69 ",115,Yes,-74.11600547,40.86080784
https://www.crexi.com/properties/1938215/new-jersey-68-garden-st,68 Garden St,On-Market,Industrial,68-70 Garden St,Newark,NJ,7105,N/A,,,4000,0.48,1,,,,"$16,00,000.00 ",$400.00 ,"$33,33,333.33 ",122,No,-74.168105,40.72669
